hidden_dim,depth,mae_train,mae_test
64,1,0.6425140500068665,0.7057738900184631
64,2,0.6388608813285828,0.6883699893951416
64,3,0.6217698454856873,0.6669546365737915
64,4,0.6417715549468994,0.6962464451789856
64,5,0.6475423574447632,0.706597089767456
64,6,0.6210677027702332,0.6591120958328247
128,1,0.6427372097969055,0.6981114745140076
128,2,0.650883674621582,0.7082312107086182
128,3,0.6532526016235352,0.7167556881904602
128,4,0.6282522678375244,0.6755273342132568
128,5,0.6238424777984619,0.6700438857078552
128,6,0.6293559670448303,0.6768996119499207
256,1,0.7111279368400574,0.7714849710464478
256,2,0.6531069278717041,0.7222594618797302
256,3,0.6525242328643799,0.6967629194259644
256,4,0.6237018704414368,0.6677047610282898
256,5,0.6498668193817139,0.7083355188369751
256,6,0.616034209728241,0.6593238115310669
512,1,0.7246045470237732,0.7952804565429688
512,2,0.6940566301345825,0.7523279190063477
512,3,0.6341515779495239,0.6812222599983215
512,4,0.6413571834564209,0.6959508657455444
512,5,0.6228432059288025,0.6730591654777527
512,6,0.6414307355880737,0.6910637617111206
1024,1,0.7458000779151917,0.8026491403579712
1024,2,0.6916757225990295,0.7295345067977905
1024,3,0.6631357073783875,0.7206733226776123
1024,4,0.6717017292976379,0.738344669342041
1024,5,0.6478452682495117,0.7035356760025024
1024,6,0.6364858150482178,0.691940426826477
