n_estimators,max_depth,mae_train,mae_test
2,2,0.3227482333863,0.382287457274798
2,4,0.255853387093459,0.3581953648328165
2,6,0.1873508473886659,0.3796779473604502
2,8,0.1571892771919946,0.3809547207439236
2,10,0.18138276348288773,0.4133364172695237
2,12,0.127547299535829,0.3148599911001256
2,14,0.15958682809719196,0.3965626952644253
2,16,0.12147892717309898,0.37700270027751875
4,2,0.33165407956629384,0.42219439617087284
4,4,0.22770125316112194,0.3755019633295169
4,6,0.1528196495951613,0.3531989451244658
4,8,0.1472336227532196,0.35468350921775393
4,10,0.1375790780078299,0.3519544715864325
4,12,0.13719200386053143,0.3539523268069547
4,14,0.15182134942329858,0.3698644629871452
4,16,0.13361223968331895,0.3759885018011655
8,2,0.3120425632062771,0.39974485479726213
8,4,0.2396417244060809,0.37309887678705494
8,6,0.1799040143333438,0.3767844122543676
8,8,0.1412286413628389,0.32895213991883476
8,10,0.12868289299274027,0.3512438757650978
8,12,0.12206086844316513,0.34150016423205365
8,14,0.11777556369856164,0.36575708897529857
8,16,0.11564483093425061,0.34139941030905396
16,2,0.308137628671513,0.37632161467324615
16,4,0.2200241259450946,0.34993738964292126
16,6,0.16548847675158546,0.3482799604099075
16,8,0.1342358772858134,0.3548470059296352
16,10,0.12103600171931056,0.30643960116313534
16,12,0.11388589534708282,0.3333552032501218
16,14,0.10566368886070264,0.31817582216404117
16,16,0.11432485919873846,0.3275805354460474
32,2,0.30685398413929516,0.3736524344755011
32,4,0.21936319592880354,0.3469623349797621
32,6,0.15705297728526027,0.3447701495804756
32,8,0.12114189152748407,0.3277177391757741
32,10,0.11398739561743128,0.33917897958955023
32,12,0.1155347912026847,0.3326730957825267
32,14,0.10980740023006297,0.34406996693485276
32,16,0.1084539523889109,0.32254798714260624
64,2,0.3084628010896189,0.37841120511249804
64,4,0.21255746648551557,0.34939338998879266
64,6,0.15694600846054851,0.3468427392305788
64,8,0.12290933958814158,0.3338616865274104
64,10,0.11573385941448293,0.3277464257882038
64,12,0.108699193378028,0.3339113226281579
64,14,0.10758363252954486,0.3288282351689508
64,16,0.10480062248345784,0.33552357694274043
128,2,0.30733232785606,0.38533804675957406
128,4,0.2197383089981559,0.3529414848472797
128,6,0.15590549868331477,0.34034629188433996
128,8,0.12176154068554863,0.3292433947632732
128,10,0.11368262812437062,0.3313837673886581
128,12,0.10560573721472939,0.33658400094372254
128,14,0.10647700730953039,0.32567780404439806
128,16,0.10527822647279259,0.32431316897749773
256,2,0.3068844640180372,0.3808234019383556
256,4,0.2155711195114602,0.35226851789223634
256,6,0.15527220135346453,0.3397393273155089
256,8,0.1227188538769351,0.3286379374608555
256,10,0.10937863049170615,0.33461223962313413
256,12,0.10407702667287684,0.3257513521613144
256,14,0.10519868702566545,0.32888966316744045
256,16,0.10244603037853596,0.3259147511491613
