n_estimators,max_depth,mae_train,mae_test
2,2,0.4075296206321326,0.47133324757089495
2,4,0.37995310335195337,0.4439143180251708
2,6,0.35374331630129136,0.4346930101710061
2,8,0.35130428054926743,0.4399288239880318
2,10,0.3385263695562399,0.4325334394757859
2,12,0.3387976999673909,0.4329769270864576
2,14,0.3393304656136295,0.433814005116935
2,16,0.3393304656136295,0.433814005116935
4,2,0.32545112586733715,0.40379159483286486
4,4,0.25077233660608395,0.35348143109440633
4,6,0.20136539165758802,0.344141788070776
4,8,0.20087034820267943,0.37458412286474413
4,10,0.18941059400234136,0.359410014044276
4,12,0.1880106840116618,0.3637187304489342
4,14,0.18796770711462144,0.3652823100260322
4,16,0.18796770711462144,0.3652823100260322
8,2,0.263745288906443,0.3746017834586867
8,4,0.1525794028193868,0.3249180519536241
8,6,0.08265719475784196,0.30786418541711214
8,8,0.06935228627647107,0.345677493781183
8,10,0.062227471505240356,0.322737122515984
8,12,0.061543429226931685,0.32297781772605
8,14,0.061676202263288814,0.32828092774052964
8,16,0.0617625237503719,0.32827913240062523
16,2,0.21801412691741412,0.35473839022161174
16,4,0.09090768506804835,0.316069984816437
16,6,0.033112729665057176,0.2947927285907216
16,8,0.01656333437423504,0.33188000590097594
16,10,0.01052315586946408,0.3118088965417121
16,12,0.009137224243622887,0.32125794607953867
16,14,0.008695232584175414,0.31770968510496966
16,16,0.008856961477749493,0.31679590486529424
32,2,0.16852953257987363,0.3350381473467269
32,4,0.04289417094964974,0.3042369883934686
32,6,0.006061142378419107,0.2931666209188468
32,8,0.003563512842249691,0.33147509967554245
32,10,0.0010712877516471768,0.3141880981867692
32,12,0.0006367987039918283,0.32398716367126534
32,14,0.000537273394627069,0.32069962363352467
32,16,0.0005343832560919241,0.31958134286107476
64,2,0.10679339426545269,0.31436410564359596
64,4,0.012753026510400434,0.3001126099226981
64,6,0.0005242535886493775,0.2922979198393744
64,8,0.00048635631443841537,0.3312182812626081
64,10,0.00045066347671412295,0.3144350630318505
64,12,0.0003682565987674133,0.32423236357881147
64,14,0.0003205596569806006,0.32093962628440986
64,16,0.00031399258003926556,0.31984140623728646
128,2,0.05058293002692614,0.3074842363469097
128,4,0.001145321158864047,0.3002419073080118
128,6,0.0005242858073762831,0.29229792944012256
128,8,0.00048638638525019394,0.3312182812626081
128,10,0.0004506817339927028,0.3144350630318505
128,12,0.0003682394154463969,0.32423236357881147
128,14,0.0003205596569806006,0.32093962628440986
128,16,0.00031399258003926556,0.31984140623728646
256,2,0.0166334418252085,0.30610047190595413
256,4,0.0006307547881143687,0.3002493358868942
256,6,0.0005242858073762831,0.29229792944012256
256,8,0.00048638638525019394,0.3312182812626081
256,10,0.0004506817339927028,0.3144350630318505
256,12,0.0003682394154463969,0.32423236357881147
256,14,0.0003205596569806006,0.32093962628440986
256,16,0.00031399258003926556,0.31984140623728646
