,smiles,idx,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,P_ratio,predict_al,predict_solv,sascore,scscore,spatial,capacity,ranker_al
0,F[B-](F)(F)F,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.733125060693073,-0.0820675907421116,3.775709000609295,1.0,60.0,0.0,0.8331250606930731
1,CCCC[B-](F)(F)F,1,8.0,8.0,4.0,3.0,0.0,124.922,115.85,0.0,2.633900000000001,28.79299999999999,50.0,0.4778365075989765,-0.4488577453209613,1.25,1.75,1.875,11.305138888888887,-4.501805555555555,0.5015400561436815,0.9765803948553812,0.2151528117039331,0.9967635216252329,125.73296022044605,582.4977476295098,584.3891103475993,2.2745785689604205,0.3023358551910189,0.0079276231139203,0.6095865786825672,0.0,9.0,0.0,0.4778365075989765,0.2352941176470588,0.5294117647058824,0.0,0.0,0.1764705882352941,0.0,0.0588235294117647,0.0,3.842316241363656,-0.0825285760396285,3.5146398687764577,1.2132938670541336,96.0,0.0,0.9423162413636561
2,F[B-](F)(F)c1ccccc1,2,10.0,10.0,4.0,1.0,0.0,144.912,139.872,0.0,1.741,35.15400000000001,54.0,0.5091321716170938,-0.4448579826449578,0.9,1.4,1.7,11.85037037037037,-4.803888888888888,0.3395156973879145,0.950878501816486,0.3095643306055052,0.8570991639813926,196.1516337559873,543.0903520990191,633.6377106894594,2.176451872507537,0.0994489619197795,0.004369574433663,0.182327502888588,1.0,9.0,0.0,0.5091321716170938,0.3999999999999999,0.3333333333333333,0.0,0.0,0.2,0.0,0.0666666666666666,0.0,4.307605846613456,-0.0802663443229152,2.6806847512908973,1.0,115.0,0.0,1.4076058466134564
3,CO[B-](F)(F)F,3,6.0,6.0,5.0,1.0,1.0,98.84,95.816,9.23,0.9769,16.087,38.0,0.6369029224562921,-0.5102215480065941,1.3333333333333333,1.5,1.5,10.625,-4.986111111111111,0.1040533742784327,0.8175138653797045,0.5759089163330731,0.9724735876255703,107.57468009747195,181.64944512086527,186.79113492880336,1.5517761460800992,0.4524899665522225,0.009039985866046,0.5079065114840896,0.0,8.0,0.5,-0.0068501810815707,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,4.475897081347842,-0.0871010985243096,4.026706879647108,1.3161340653840978,72.0,0.0,1.5758970813478421
4,[H][B-](F)(F)F,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.733125060693073,-0.0820675907421116,6.163949969544904,1.6427632633735736,36.0,0.0,0.8331250606930731
5,C[B-](F)(F)F,5,5.0,5.0,4.0,0.0,0.0,82.84100000000001,79.81700000000001,0.0,1.4636,14.942000000000002,32.0,0.4748206880422694,-0.4490225999188241,1.2,1.2,1.2,10.416666666666666,-4.5,0.0011023914516943,0.3294850775492833,0.9441607827443071,0.975322732567529,106.36238636616667,109.87286827517669,112.65283234600436,1.4089202369742146,0.6605679386857966,0.0091698086691083,0.5710302777413906,0.0,9.0,0.0,0.4748206880422694,0.125,0.375,0.0,0.0,0.375,0.0,0.125,0.0,3.946601253920277,-0.0810095555555539,4.283034536134517,1.0106213061323406,60.0,0.0,1.0466012539202771
6,CC[B-](F)(F)F,6,6.0,6.0,4.0,1.0,0.0,96.868,91.828,0.0,1.8537,19.559,38.0,0.4775691971804247,-0.4488637936151148,1.3333333333333333,1.5,1.5,10.84722222222222,-4.486111111111111,0.1153531588470693,0.8307907608924511,0.556584864702358,0.9694876501220512,111.76587089808596,194.67944317669267,200.80652203479232,1.6181048122583477,0.5125762452749241,0.0086742727662014,0.6069044232227153,0.0,9.0,0.0,0.4775691971804247,0.1818181818181818,0.4545454545454546,0.0,0.0,0.2727272727272727,0.0,0.0909090909090909,0.0,3.792283036259201,-0.0834866788968915,3.893347116333498,1.0,72.0,0.0,0.8922830362592009
7,O[B-](F)(F)F,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.733125060693073,-0.0820675907421116,4.357249920749901,1.1795404151425637,60.0,0.0,0.8331250606930731
8,CCC(C)[B-](F)(F)F,8,8.0,8.0,4.0,2.0,0.0,124.922,115.85,0.0,2.633900000000001,28.79299999999999,50.0,0.480593191602655,-0.4486976315865545,1.375,1.75,1.75,11.51199074074074,-4.5625,0.2145961659730543,0.9088082819914108,0.4172139817693315,0.868410860389946,175.2537457788601,364.782252773409,420.05722108266747,1.9602986424263693,0.3893918525557179,0.0049551629069642,0.5883235396100864,0.0,9.0,0.0,0.480593191602655,0.2352941176470588,0.5294117647058824,0.0,0.0,0.1764705882352941,0.0,0.0588235294117647,0.0,3.640678541787077,-0.081395950588893,4.6713741542707155,1.580419334635018,129.0,0.0,0.7406785417870769
9,F[B-](F)(F)C1CCCC1,9,9.0,9.0,4.0,1.0,0.0,136.933,127.861,0.0,2.7780000000000014,31.29599999999999,54.0,0.4808721809604088,-0.44869143833375,1.0,1.4444444444444444,1.6666666666666667,11.82324074074074,-4.506944444444444,0.2811999384394195,0.9341712666702614,0.3568249494187302,0.8887280835863102,183.1736806119097,456.22256627195424,513.3432539128797,2.051618130426947,0.4226865791826258,0.0048518328649477,0.6836675223298418,0.0,9.0,0.0,0.4808721809604088,0.2777777777777778,0.5000000000000001,0.0,0.0,0.1666666666666666,0.0,0.0555555555555555,0.0,3.680032406559409,-0.0815596845705762,3.7135933918409423,1.537150105110495,207.0,0.0,0.7800324065594091
