R1,mean,var,num,difference
*c1ccccp1,-0.0564505999999482,0.0,1,1.9564505999999482
*C(C)=CC,-0.0804473999999686,0.0,1,1.9804473999999685
*C(=C)c1ccccc1,-0.0795018000000027,0.0,1,1.9795018000000026
*N(C)C,-0.0904427000000112,0.0,1,1.9904427000000111
*n1cccn1,-0.077636200000029,0.0,1,1.977636200000029
*COCC1CCCC1,-0.0817971999999827,0.0,1,1.9817971999999826
*CCCCCCCC,-0.08985389999998,0.0001222727292908315,2,0.9899761727292709
*C(C)C,-0.0652030999999908,0.00027739901808988344,2,0.9654804990180805
*C#CC(=O)C(C)(C)C,-0.0767960000000584,0.0,1,1.9767960000000584
*c1cccc(F)c1F,-0.0543023000000175,0.0,1,1.9543023000000175
*C1CCC(=O)CC1,-0.0815408999999363,0.0,1,1.9815408999999362
*C1CC1,-0.0857965000000149,0.0,1,1.9857965000000148
*c1ccncc1,-0.0806291999999757,0.0,1,1.9806291999999757
*[H],-0.08205541578947802,0.0001694535969828463,19,-16.01777513061354
*C(CC)CC(=O)OC,-0.0834459999999808,0.0,1,1.9834459999999807
*CC1CCCC1,-0.081479599999966,0.0,1,1.981479599999966
*c1ccc(C)o1,-0.0849958999999671,0.0,1,1.984995899999967
*CCC,-0.06150980000001972,9.756738193658476e-05,6,-3.0383926326180437
*CCN1CCCC1=O,-0.0935513000000582,0.0,1,1.9935513000000582
*C(C)CC,-0.05501305714285614,0.00010777703918846361,14,-11.044879165817957
*O,-0.09662012000000002,0.00024402025209360837,15,-12.003135859747907
*C1Cc2ccccc2C1,-0.0820997000000716,0.0,1,1.9820997000000715
*COCC=C,-0.0891751999999996,0.0,1,1.9891751999999996
*c1ccc(CO)cc1,-0.0905661000000463,0.0,1,1.9905661000000463
*C(O)C(C)(C)C,-0.0802805999999236,0.0,1,1.9802805999999236
*c1cccc(C)c1,-0.0818679999999858,0.0,1,1.9818679999999858
*c1ccc(C)cc1,-0.08208680000007,0.0,1,1.98208680000007
*CCC(N)=O,-0.0966076000000839,0.0,1,1.9966076000000839
*CC=CCC,-0.0824728999999706,0.0,1,1.9824728999999706
*C#CC,-0.07184699999999107,0.00010089361176940975,4,-1.0280521063882397
*CNC(=O)C(C)(C)C,-0.0871465000000171,0.0,1,1.987146500000017
*C#CC(C)(C)C,-0.07951277500001191,1.547209130687263e-05,4,-1.0204717529086813
*c1ccccc1O,-0.0775413999999727,0.0,1,1.9775413999999727
*CC=C(C)CC,-0.0816839999999956,0.0,1,1.9816839999999956
*C1(C)CC1,-0.0826423999999974,0.0,1,1.9826423999999974
*C#CC1=CCCCC1,-0.08287750000005184,4.302305639922647e-06,2,0.9828818023056916
*c1ccc(F)nc1,-0.0779532999999901,0.0,1,1.97795329999999
*C#CC1CCCCC1,-0.05474405000001065,1.0451995225571528e-06,2,0.9547450951995331
*OCC(=O)CO,-0.1074755999999297,0.0,1,2.0074755999999296
*CC=C(C)CCCC,-0.0784867000000986,0.0,1,1.9784867000000985
*C1(c2ccccc2)CC1,-0.0811488000000508,0.0,1,1.9811488000000508
*C(C)CC(C)=O,-0.0850371000000222,0.0,1,1.9850371000000222
*C(=O)C(C)C,-0.0834531000000424,0.0,1,1.9834531000000424
*C(C)C(C)C,-0.054410949999976296,4.461300205261159e-05,4,-1.0455444369979712
*C1=CCSCC1,-0.0807117999999036,0.0,1,1.9807117999999035
*c1pcccc1C,-0.0555924000000231,0.0,1,1.955592400000023
*C1C=CCCC1,-0.0810875999999325,0.0,1,1.9810875999999324
*c1ccsc1,-0.05594149999997165,0.0001588636569248175,5,-2.0438996363431037
*C=C,-0.07453130000001805,9.337163640990429e-05,2,0.9746246716364277
*COC(C)(C)C,-0.089736900000048,0.0,1,1.989736900000048
*CC(=C)C,-0.081105100000002,0.0,1,1.981105100000002
*C1CC1CCCC,-0.0796759999999494,0.0,1,1.9796759999999494
*c1c(C)cccc1C,-0.0774370000000317,0.0,1,1.9774370000000316
*C(C)c1ccccc1,-0.06802615000003695,0.00015736824362238077,2,0.9681835182436593
*C1CCCC1,-0.05862934166666866,9.13739988556229e-05,12,-9.041279284334475
*CC(C)C,-0.05769238749999056,0.00010202866158877766,8,-5.04220558383842
*c1cccnc1F,-0.0824632000000065,0.0,1,1.9824632000000064
*COCC#C,-0.0899426000000858,0.0,1,1.9899426000000857
*C1CCCCC1C,-0.0773030999999946,0.0,1,1.9773030999999945
*C#CCC,-0.06584900000002561,6.604774292125063e-06,5,-2.0341443952256824
*C(O)C(CC)CC,-0.0803682000000662,0.0,1,1.9803682000000662
*C(=O)c1ccc(C)cc1,-0.0841517000000067,0.0,1,1.9841517000000066
*CC1CC=CCC1,-0.0808476000000837,0.0,1,1.9808476000000836
*C=CCc1ccccc1,-0.0843527999999196,0.0,1,1.9843527999999195
*C#CCCC,-0.06393003333331154,0.00012845259657613047,3,-0.035941514070112035
*c1ccccn1,-0.08205176666664706,3.506899240229109e-05,3,-0.017913164340950694
*CC=COC(C)=O,-0.08376439999995,0.0,1,1.98376439999995
*C(O)c1ccccc1,-0.0842847000000119,0.0,1,1.984284700000012
*C(=O)C(C)(C)C,-0.0817393999999467,0.0,1,1.9817393999999466
*CCC1=CCCCC1,-0.0824565000000348,0.0,1,1.9824565000000347
*CN1CCCCC1,-0.0859619999999949,0.0,1,1.985961999999995
*CCC#N,-0.0755675999999994,0.0,1,1.9755675999999993
*C1=CCOCC1,-0.0848158000000012,0.0,1,1.9848158000000011
*c1ccc(O)cc1,-0.08894650000002,0.0,1,1.98894650000002
*CN1CCCC1,-0.0882458999999471,0.0,1,1.988245899999947
*CC(C)(C)C,-0.0790004000000408,0.0,1,1.9790004000000407
*C1=CCC(F)(F)CC1,-0.079516099999978,0.0,1,1.979516099999978
*CCOCC,-0.0879116000000976,0.0,1,1.9879116000000976
*c1ccccc1OC,-0.0890925999999581,0.0,1,1.989092599999958
*C1CCOC1,-0.0798485000000255,7.569000001339622e-09,2,0.9798485075690255
*CCCCCC,-0.06433881666665303,0.00037459632040543503,6,-3.0352865870129415
*c1cccc(OC)c1,-0.0847671000000218,0.0,1,1.9847671000000218
*N,-0.08502029999999645,8.248090761022618e-05,2,0.9851027809076065
*CCCCC,-0.06773069999997,0.00020580197764002875,2,0.96793650197761
*CC=CCCCCC,-0.0817023999999264,0.0,1,1.9817023999999264
*CC(F)(F)F,-0.0769145000000435,0.0,1,1.9769145000000434
*c1ccc(F)cc1,-0.0775661000000127,0.0,1,1.9775661000000126
*C(=O)c1cccs1,-0.0838741999999683,0.0,1,1.9838741999999683
*CS(C)=O,-0.0634208499999431,1.3849759224503344e-06,2,0.9634222349758654
*OC1=CCCCC1C,-0.0605315000000246,0.0,1,1.9605315000000245
*c1ncc[nH]1,-0.1099265000000286,0.0,1,2.0099265000000286
*C1CCC1,-0.0825217000000293,0.0,1,1.9825217000000293
*C=Cc1ccc(C)cc1,-0.0825518999999985,0.0,1,1.9825518999999985
*n1cncn1,-0.08311455000003315,5.632502498865793e-09,2,0.9831145556325356
*c1ccc(C=O)o1,-0.0760113000000046,0.0,1,1.9760113000000046
*c1ccc(C#N)cc1,-0.0717341999999234,0.0,1,1.9717341999999234
*OC(C)=O,-0.0935927000000447,0.0,1,1.9935927000000446
*c1ccccc1F,-0.0814317000000528,0.0,1,1.9814317000000528
*CCOC,-0.084099300000048,0.0,1,1.984099300000048
*CSC,-0.04881439999996925,5.3439568897695275e-06,2,0.9488197439568591
*C(F)=C(F)F,-0.0750227500000164,5.183135222495e-06,2,0.9750279331352387
*C(C)CCCC,-0.0510358000000223,0.0,1,1.9510358000000223
*C(=O)c1ccoc1,-0.0833721000000196,0.0,1,1.9833721000000195
*c1ccc(N)cc1,-0.0911756000000423,0.0,1,1.9911756000000422
*c1cccc(C(C)C)c1,-0.0803452000000106,0.0,1,1.9803452000000106
*C1COC(=O)C1,-0.0787732999999661,0.0,1,1.978773299999966
*C(C)CC(=O)OCC,-0.0854368999999906,0.0,1,1.9854368999999905
*c1cccn1C,-0.052856733333328465,2.5038442022427026e-06,3,-0.04714076282246937
*C12CC(C1)C2,-0.0829087999999274,0.0,1,1.9829087999999273
*CCCC,-0.058347758333326234,0.00015209066102090648,24,-21.041500151005653
*CC,-0.06171514666666928,5.463683802644018e-05,15,-12.038230216495304
*C#CC(C)C,-0.0811929999999847,0.0,1,1.9811929999999847
*C(=O)c1ccccc1C,-0.082627699999989,0.0,1,1.982627699999989
*C(C)CC(=O)N(C)C,-0.0869619000000057,0.0,1,1.9869619000000056
*C(=O)C1CCCCC1,-0.083062400000017,0.0,1,1.983062400000017
*C1CCCC(=O)C1,-0.0819214000000556,0.0,1,1.9819214000000556
*CCC(O)CO,-0.0938986999999542,0.0,1,1.9938986999999542
*CN1CCN(C)CC1,-0.090428299999985,0.0,1,1.990428299999985
*CCCCC#N,-0.0794177999999874,0.0,1,1.9794177999999873
*c1ccoc1,-0.057334020000030184,0.00016442651162074917,5,-2.042501553488349
*CCC1OCCO1,-0.0918563999999833,0.0,1,1.9918563999999832
*C(F)(F)C(F)(F)F,-0.07171079999996736,4.5264121867655775e-06,3,-0.0282846735878457
*C1CCC(F)(F)CC1,-0.0759918999999627,0.0,1,1.9759918999999626
*C(C)(C)C=C,-0.0780597000000398,0.0,1,1.9780597000000397
*CC(C)C(C)=O,-0.0823025999999345,0.0,1,1.9823025999999344
*CCc1ccccc1,-0.0845381000000315,0.0,1,1.9845381000000315
*CC=C(C)C,-0.0825160000000551,0.0,1,1.982516000000055
*n1nc(C)cc1C,-0.0753601999999773,0.0,1,1.9753601999999773
*CCOC(C)(C)C,-0.0852574000000458,0.0,1,1.9852574000000458
*C1CCCCC1,-0.06256161666667971,8.856071969741208e-05,6,-3.0373498226136233
*C=CC1=CCCCC1,-0.083582700000079,0.0,1,1.983582700000079
*c1cc(C)ccc1C=O,-0.0898435999999947,0.0,1,1.9898435999999946
*C#CC(=C)C,-0.0717976500000077,9.717917820188295e-05,2,0.9718948291782095
*F,-0.08285859585253545,2.4966257683195475e-05,217,-214.01711643788977
*C(=O)CCCC,-0.0833431999999447,0.0,1,1.9833431999999447
*Cc1ccccc1C,-0.0801072000000431,0.0,1,1.980107200000043
*C(C)CC(=O)CC,-0.0845893000000614,0.0,1,1.9845893000000614
*P(=O)(OC)OC,-0.089243300000021,0.0,1,1.989243300000021
*C#Cc1ccccc1,-0.0645051444444359,0.00017395179949566893,9,-6.035320903756068
*CCC(=O)CC,-0.0843642999999474,0.0,1,1.9843642999999473
*c1ccncn1,-0.0856257000000368,0.0,1,1.9856257000000368
*C(=O)CCCC=O,-0.0812669000000596,0.0,1,1.9812669000000596
*c1csc(C=O)c1,-0.0772734999999329,0.0,1,1.9772734999999328
*C1CCOCC1,-0.0837321999999858,0.0,1,1.9837321999999857
*C=C(C)c1ccccc1,-0.0808097999999972,0.0,1,1.9808097999999972
*C#C,-0.06367211666666128,0.0001345183291245667,6,-3.0361933650042143
*Cc1cccc(F)c1,-0.0785017000000607,0.0,1,1.9785017000000606
*CN1CCOCC1,-0.0868024000000105,0.0,1,1.9868024000000104
*C1=CCCCC1,-0.0832269999999653,0.0,1,1.9832269999999652
*c1c(O)cccc1F,-0.0944309999999859,0.0,1,1.9944309999999859
*c1cccc(C#N)c1,-0.0730115000000068,0.0,1,1.9730115000000068
*OCC,-0.08437060000002812,2.074015179001368e-05,4,-1.0156086598481817
*CC=C,-0.06749533333332157,0.00013150891141524914,3,-0.03237315775526328
*C(N)=O,-0.0941022000000089,0.0,1,1.9941022000000088
*c1cccnc1,-0.0953005000000075,0.00016755749136097332,2,0.9954680574913684
*C1CC2CCC1C2,-0.0800277999999252,0.0,1,1.9800277999999252
*CCCC#N,-0.0819323000000622,0.0,1,1.9819323000000622
*c1cccc(F)c1,-0.077260600000045,0.0,1,1.977260600000045
*C=CC,-0.0833521999999789,0.0,1,1.9833521999999788
*C(=O)CCCC=C,-0.0832014999999728,0.0,1,1.9832014999999728
*C(C)(C)CC(C)=O,-0.0804253999999673,0.0,1,1.9804253999999673
*c1cccc(C(C)=O)c1,-0.0836526000000503,0.0,1,1.9836526000000503
*C1(C)CCCC(=O)C1,-0.0797876000000314,0.0,1,1.9797876000000314
*CCC(=O)N(C)C,-0.0940105999999332,0.0,1,1.9940105999999331
*c1ccccc1,-0.07022757894737336,0.00023196176295727772,19,-16.02954045928967
*C1CC1c1ccccc1,-0.0827657000000954,0.0,1,1.9827657000000953
*C(F)=C(F)CCCC,-0.07946359999994,0.0,1,1.97946359999994
*C(=O)CCCCO,-0.0899402000000009,0.0,1,1.9899402000000008
*c1ccc2ocnc2c1,-0.084200800000076,0.0,1,1.984200800000076
*C1CCCCCCC1,-0.0792844000000059,0.0,1,1.9792844000000058
*C(C)(C)C,-0.06063563333329584,0.0001839151575623964,3,-0.03918045150914162
*C(C)C=C,-0.0806448999999815,0.0,1,1.9806448999999815
*OO,-0.0993042999999715,0.0,1,1.9993042999999715
*CCCCC=C,-0.0799678000000767,0.0,1,1.9799678000000767
*c1ccc(O)c(C)c1,-0.0888959000000113,0.0,1,1.9888959000000113
*C(=C)C,-0.0821176000000036,0.0,1,1.9821176000000036
*C#N,-0.06158076666666698,6.349711215092279e-05,9,-6.038355736221183
*c1cccc(CO)c1,-0.0896457999999711,0.0,1,1.989645799999971
*C1(C)CCC(=O)C1,-0.0795663000000104,0.0,1,1.9795663000000103
*C=Cc1ccsc1,-0.0820766000000503,0.0,1,1.9820766000000503
*COCCCCC=C,-0.0893515999999863,0.0,1,1.9893515999999862
*c1cc(F)cc(F)c1,-0.0723069000000578,0.0,1,1.9723069000000577
*C(CC)CCC,-0.0679957499999943,2.0532226562365873e-05,2,0.9680162822265568
*CC=CC,-0.0832488000000353,0.0,1,1.9832488000000352
*c1cc(C)cs1,-0.0805280000000721,0.0,1,1.980528000000072
*C=CC(C)=CCO,-0.11336469999992,0.0,1,2.01336469999992
*C(CCCC)=C(F)F,-0.0595508000000108,0.0,1,1.9595508000000108
*c1cccc(C)c1O,-0.0946627999999236,0.0,1,1.9946627999999236
*C#CCCCCCC,-0.07383403999999698,0.00011711048451776678,5,-2.0260488495154854
*Cc1ccccc1F,-0.0815529999999853,0.0,1,1.9815529999999852
*C=C(C)C,-0.0837619999999788,0.0,1,1.9837619999999787
*c1ccc2[nH]ccc2c1,-0.0919408999999404,0.0,1,1.9919408999999404
*CC=CCCC,-0.0824041000000761,0.0,1,1.982404100000076
*CCc1cccs1,-0.0809676000000081,0.0,1,1.980967600000008
*c1ccco1,-0.07877749999994416,2.5352232010435546e-05,2,0.9788028522319547
*c1c(F)cccc1F,-0.0809600000000045,0.0,1,1.9809600000000045
*CCOC(C)=O,-0.0870330000000194,0.0,1,1.9870330000000194
*C,-0.07065120588233452,0.00018443941123850825,17,-14.029164354706428
*c1cccs1,-0.05753742499996399,0.00018094182282167703,4,-1.0422816331772142
*C(=O)C1=CCOCC1,-0.0860881999999492,0.0,1,1.9860881999999491
*C(F)(F)F,-0.0779897500000288,1.4620299322181867e-05,2,0.9780043702993511
*c1cnc(C)nc1,-0.081770899999924,0.0,1,1.981770899999924
*C=CC1CCCCC1,-0.082954500000028,0.0,1,1.982954500000028
*c1ccccc1C,-0.0795035999999527,0.0,1,1.9795035999999526
*C1CC(F)(F)C1,-0.0761282999999366,0.0,1,1.9761282999999366
*CC(C)C(=O)N(C)C,-0.0854064000000107,0.0,1,1.9854064000000107
*C=CC1CC1,-0.0865148000000317,0.0,1,1.9865148000000317
*n1ccnc1,-0.0757158999999774,0.0,1,1.9757158999999773
*c1cc2ccccc2o1,-0.0794406999999637,0.0,1,1.9794406999999636
*c1c(C)cc(C)cc1C,-0.0774205999999821,0.0,1,1.977420599999982
*C(=C)C=C,-0.081035399999962,0.0,1,1.981035399999962
*COc1ccccc1,-0.0805623999999625,0.0,1,1.9805623999999624
*C1CCCC1C,-0.0795117000000118,0.0,1,1.9795117000000118
*C=CCCC#N,-0.0806122000000186,0.0,1,1.9806122000000186
*CC=Cc1ccccc1,-0.0786527999999862,0.0,1,1.9786527999999861
*C(O)C(C)C,-0.083432299999913,0.0,1,1.983432299999913
*CCC(C)=O,-0.0915569000000005,0.0,1,1.9915569000000004
*C(C)=Cc1ccccc1,-0.0800653000000011,0.0,1,1.980065300000001
*c1cccc(O)c1,-0.0867006000000856,0.0,1,1.9867006000000855
*C=CC(F)(F)F,-0.0712316000000328,0.0,1,1.9712316000000327
*C(=O)c1ccccn1,-0.0939994000000297,0.0,1,1.9939994000000296
*C=CCO,-0.0901409000000512,0.0,1,1.9901409000000512
*C(C)=C(C)C,-0.0812435999999934,0.0,1,1.9812435999999933
*COC(C)=O,-0.0874953000000005,0.0,1,1.9874953000000004
*C1SCCCS1,-0.0818640999998479,0.0,1,1.9818640999998478
*c1ccc(C=O)s1,-0.074382499999956,0.0,1,1.974382499999956
