,y_train,y_train_pre,y_test,y_test_pre
0,-0.0786527999999862,-0.09206441,-0.0820766000000503,-0.076021984
1,-0.0899571000000207,-0.07019165,-0.0536905999999817,-0.08668724
2,-0.0871709000000464,-0.075427726,-0.0935927000000447,-0.07916933
3,-0.0795663000000104,-0.07633856,-0.1074755999999297,-0.075231284
4,-0.0806112999999868,-0.07817164,-0.0806122000000186,-0.07493368
5,-0.081479599999966,-0.07544762,-0.0511260999999194,-0.052766953
6,-0.057394600000066,-0.07364817,-0.072648499999957,-0.08457604
7,-0.0818583999999873,-0.08967289,-0.0826888999999937,-0.07095829
8,-0.0803682000000662,-0.07404882,-0.05647620000002,-0.08493641
9,-0.0757158999999774,-0.07323158,-0.0966076000000839,-0.08490214
10,-0.0580846000000292,-0.07935423,-0.0666532999999844,-0.1049175
11,-0.0562952000000223,-0.08307102,-0.0727461000000175,-0.07942635
12,-0.0833521999999789,-0.09168163,-0.0836526000000503,-0.075679675
13,-0.0755675999999994,-0.05941421,-0.0772734999999329,-0.085398465
14,-0.0775413999999727,-0.0888319,-0.0896457999999711,-0.083545
15,-0.0860077999999475,-0.08917031,-0.0535141000000294,-0.08252327
16,-0.0857740999999805,-0.08007732,-0.059880000000021,-0.06945446
17,-0.0503047999999353,-0.085733205,-0.0850371000000222,-0.07934427
18,-0.0801072000000431,-0.103018135,-0.0830395000000407,-0.07816857
19,-0.0854064000000107,-0.08816278,-0.0810953000000154,-0.0829584
20,-0.0773030999999946,-0.07909885,-0.0717341999999234,-0.11413786
21,-0.0800277999999252,-0.08673978,-0.0895975000000817,-0.08821306
22,-0.0808033000000705,-0.08076951,-0.0540756000000328,-0.116660565
23,-0.0659322999999858,-0.07744256,-0.0811929999999847,-0.08196321
24,-0.0804473999999686,-0.08508733,-0.0799355000000332,-0.08101919
25,-0.0812669000000596,-0.07998794,-0.0811215000001084,-0.06402062
26,-0.0828444999999646,-0.079113215,-0.0833721000000196,-0.08713254
27,-0.0522189000000707,-0.07945724,-0.0690878999999995,-0.11759338
28,-0.083062400000017,-0.08617136,-0.0825160000000551,-0.08692607
29,-0.0634645000000091,-0.08293207,-0.0904427000000112,-0.07358375
30,-0.0498354999999719,-0.088783175,-0.0818133999999872,-0.105954856
31,-0.0787732999999661,-0.088766366,-0.0843642999999474,-0.09232515
32,-0.0788288999999622,-0.07649085,-0.0825518999999985,-0.08722225
33,-0.0938986999999542,-0.09371045,-0.0807117999999036,-0.080954164
34,-0.0881351000000449,-0.08791429,-0.0514646999999968,-0.08372027
35,-0.0646904999999833,-0.09519687,-0.0805280000000721,-0.07826701
36,-0.0827657000000954,-0.09696165,-0.0849517000000332,-0.08787656
37,-0.0527138999999579,-0.0887112,-0.0841942000000131,-0.08639088
38,-0.0849958999999671,-0.09580448,-0.0820997000000716,-0.087117404
39,-0.0837619999999788,-0.1106697,-0.0809676000000081,-0.073916346
40,-0.0552913999999873,-0.088614315,-0.0564505999999482,-0.072479576
41,-0.07946359999994,-0.075262785,-0.0574493000000302,-0.07213856
42,-0.0824632000000065,-0.07603502,-0.0808122999999341,-0.08384651
43,-0.0993042999999715,-0.08501524,-0.0935513000000582,-0.07467881
44,-0.0817393999999467,-0.07741162,-0.0940105999999332,-0.053432275
45,-0.0852574000000458,-0.06970656,-0.0805708000000322,-0.08022758
46,-0.0831896000000256,-0.07401146,-0.0847671000000218,-0.08433542
47,-0.0993440999999961,-0.07325682,-0.0920772999999997,-0.07692525
48,-0.0819323000000622,-0.064569056,-0.077636200000029,-0.07688829
49,-0.089736900000048,-0.076078326,-0.0563061999999945,-0.088709205
50,-0.0885753000000022,-0.07745969,-0.0841517000000067,-0.08338222
51,-0.0769145000000435,-0.08456412,-0.0843527999999196,-0.07765378
52,-0.0874953000000005,-0.10344431,-0.0513361999999233,-0.08633062
53,-0.079516099999978,-0.08324537,-0.0955854000000044,-0.07332814
54,-0.0584006999999928,-0.07810807,-0.0910756999999193,-0.09113386
55,-0.0550498000000061,-0.072576374,-0.081770899999924,-0.08400789
56,-0.0790067000000362,-0.085038394,-0.0867006000000856,-0.08392984
57,-0.0787359999999353,-0.07626535,-0.0551135000000044,-0.10493919
58,-0.0819214000000556,-0.08942747,-0.0845893000000614,-0.07851192
59,-0.0844664999999622,-0.08678961,-0.0832488000000353,-0.08380249
60,-0.0919408999999404,-0.068963364,-0.1082449000000451,-0.08290747
61,-0.0548632999999654,-0.08139883,-0.0730857000000924,-0.076679975
62,-0.0465027000000191,-0.098822445,-0.0862802000000328,-0.08327395
63,-0.0543023000000175,-0.071338445,-0.0518946000000823,-0.09161106
64,-0.0823025999999345,-0.07367636,-0.0802805999999236,-0.10347912
65,-0.0657547000000136,-0.0911904,-0.08208680000007,-0.079936445
66,-0.0498522999999977,-0.07974288,-0.0810875999999325,-0.07924175
67,-0.0846991999999886,-0.07549623,-0.083582700000079,-0.08946219
68,-0.0814317000000528,-0.09485099,-0.0830964000000449,-0.08564472
69,-0.0826423999999974,-0.0817388,-0.0623770999999919,-0.08053526
70,-0.0818679999999858,-0.08210659,-0.0905661000000463,-0.08355349
71,-0.0554815000000417,-0.08312668,-0.0744061999999985,-0.08722645
72,-0.0813088999999536,-0.084454894,-0.075253499999917,-0.073599845
73,-0.0868024000000105,-0.07651372,-0.0478276999999707,-0.075323865
74,-0.0918563999999833,-0.08933726,-0.082627699999989,-0.08633605
75,-0.0762323999999807,-0.09086871,-0.0946627999999236,-0.09703788
76,-0.0812963000000195,-0.07971674,-0.0612899000000197,-0.10382378
77,-0.0595508000000108,-0.079150066,-0.0856600999999273,-0.07741262
78,-0.0772994000000153,-0.0887436,-0.0824728999999706,-0.074061126
79,-0.0590730000000121,-0.08260384,-0.0680578000000196,-0.07815708
80,-0.0825545999999803,-0.09082672,-0.0547986000000264,-0.09703335
81,-0.0870330000000194,-0.082246184,-0.0557664000000386,-0.11258122
82,-0.0723069000000578,-0.07126543,-0.0890925999999581,-0.08040947
83,-0.0865148000000317,-0.08743629,-0.0760113000000046,-0.09019557
84,-0.0845381000000315,-0.075559884,-0.0806291999999757,-0.07825664
85,-0.0857965000000149,-0.07463145,-0.0832014999999728,-0.08137366
86,-0.0823560999999699,-0.08455208,-0.0869619000000057,-0.100506514
87,-0.0879116000000976,-0.08578527,-0.0622439999999642,-0.10456428
88,-0.0898435999999947,-0.084370494,-0.0848158000000012,-0.080913365
89,-0.0519526000000496,-0.07623565,-0.0833381999999574,-0.10477972
90,-0.0579684000000497,-0.08172442,-0.0833431999999447,-0.079919755
91,-0.1214560000000801,-0.08875358,-0.0523511000000098,-0.09111214
92,-0.0806448999999815,-0.0998275,-0.0911756000000423,-0.087347716
93,-0.083432299999913,-0.10460517,-0.082954500000028,-0.11883566
94,-0.074382499999956,-0.086304694,-0.0838741999999683,-0.0857642
95,-0.0555924000000231,-0.089481235,-0.0961367000000166,-0.07770294
96,-0.0800653000000011,-0.08679953,-0.083915300000001,-0.089758545
97,-0.0612293000000363,-0.08693668,-0.0869147000000225,-0.080040395
98,-0.0521456999999827,-0.06623444,-0.0797615000000178,-0.08036059
99,-0.077260600000045,-0.08792463,-0.0741661000000704,-0.09714666
100,-0.0565527999999631,-0.0899103,-0.0834459999999808,-0.090130776
101,-0.0817971999999827,-0.071145594,-0.0808097999999972,-0.106289595
102,-0.08376439999995,-0.08372098,-0.0856257000000368,-0.08067015
103,-0.0808810999999991,-0.066770405,-0.0804253999999673,-0.103122324
104,-0.0753601999999773,-0.08395442,-0.0790004000000408,-0.10561368
105,-0.0548338999999487,-0.080037326,-0.0591039999999907,-0.08637199
106,-0.0538457999999764,-0.081418395,-0.11336469999992,-0.085638836
107,-0.0916597000000365,-0.09692487,-0.0878401000001076,-0.085202515
108,-0.0484204000000545,-0.09173104,-0.0649247999999715,-0.08317265
109,-0.0778459999999086,-0.07320559,-0.0930085999999903,-0.08602372
110,-0.079351900000006,-0.07433745,-0.0537216999999827,-0.10383782
111,-0.0636525999999548,-0.08096862,-0.0786914000000251,-0.07703133
112,-0.0944309999999859,-0.1133568,-0.1099265000000286,-0.0894129
113,-0.0833135999999967,-0.08900091,-0.0838125999999874,-0.056613687
114,-0.0577884000000494,-0.07763998,-0.0842847000000119,-0.07693106
115,-0.0818640999998479,-0.10260007,-0.0732534999999643,-0.08983752
116,-0.0752187999999591,-0.08778247,-0.0803452000000106,-0.08244625
117,-0.0790642999999704,-0.08720356,-0.0821259999999028,-0.07756686
118,-0.0794177999999874,-0.078245044,-0.0547865999999999,-0.09179321
119,-0.0737423999999009,-0.10041079,-0.0605315000000246,-0.07937184
120,-0.0775661000000127,-0.07364264,-0.0494750000000294,-0.0846754
121,-0.0503939999999829,-0.07389222,-0.0779532999999901,-0.05653609
122,-0.0562631999999894,-0.08499132,-0.0815408999999363,-0.1053879
123,-0.0796759999999494,-0.087981075,-0.0692051999999421,-0.07865822
124,-0.0871465000000171,-0.079924315,-0.048840099999893,-0.10606143
125,-0.0817023999999264,-0.07690376,-0.0901409000000512,-0.08193123
126,-0.082615799999985,-0.08803724,-0.0877554999999574,-0.07956353
127,-0.061939700000039,-0.08380753,-0.0827476000000047,-0.08283326
128,-0.0824041000000761,-0.08080292,-0.0602575999999999,-0.08445254
129,-0.0712316000000328,-0.07227187,-0.082076499999971,-0.08520749
130,-0.0845230999999557,-0.08596218,-0.0742417999999816,-0.075653225
131,-0.0784867000000986,-0.080542654,-0.0815529999999853,-0.0749405
132,-0.08894650000002,-0.07520163,-0.0795035999999527,-0.07939991
133,-0.0809600000000045,-0.085152775,-0.0825217000000293,-0.10173139
134,-0.0882458999999471,-0.08614883,-0.0899426000000858,-0.084116936
135,-0.0806881999999404,-0.08005832,-0.081936799999994,-0.087635815
136,-0.0845328999999992,-0.08021405,-0.0506345999999666,-0.06787972
137,-0.0825893999999607,-0.0874857,-0.053384899999969,-0.060097013
138,-0.0491328999999041,-0.11307928,-0.0940425000000004,-0.08146021
139,-0.0888959000000113,-0.11599848,-0.0697680000000673,-0.08861801
140,-0.0827054999999745,-0.10535166,-0.0829003000000057,-0.14303467
141,-0.0468211999999539,-0.08064318,-0.0642386999999757,-0.06831363
142,-0.0652425000000676,-0.08429289,-0.0812435999999934,-0.08156577
143,-0.1053441999999904,-0.07799977,-0.0799678000000767,-0.11509451
144,-0.0491704000000936,-0.08344841,-0.0939994000000297,-0.10983989
145,-0.0816839999999956,-0.0770497,-0.0525840000000243,-0.07631986
146,-0.049161099999992,-0.08109611,-0.0792844000000059,-0.08093679
147,-0.0899402000000009,-0.07589349,-0.0808476000000837,-0.11757514
148,-0.075938399999984,-0.09301481,-0.0795117000000118,-0.06809518
149,-0.0503421999999318,-0.08373839,,
150,-0.064868400000023,-0.08570978,,
151,-0.1013224999999238,-0.086096436,,
