n_estimators,max_depth,mae_train,mae_test
2,2,0.004073455035126148,0.004933702032198076
2,4,0.003388666763648939,0.00500141925189784
2,6,0.0022370474997794897,0.004094777447329235
2,8,0.0022614136781259502,0.004283957617772597
2,10,0.0019516582344850282,0.004080967298130186
2,12,0.0020952410331479144,0.004738659818160481
2,14,0.0019552178651924593,0.004177389107254717
2,16,0.0019328644144164311,0.005021572483225444
4,2,0.00400188259382488,0.004995311990340605
4,4,0.003073843383387271,0.004554442989985649
4,6,0.002067738678311318,0.004022381019891995
4,8,0.002250323152247389,0.003716766184894552
4,10,0.0019006703887061824,0.003768552892078488
4,12,0.0018442591356532128,0.0038204761957633497
4,14,0.0017266227161839554,0.003870232008851151
4,16,0.0017818493056928062,0.003997842123125102
8,2,0.0038674069775195712,0.004529893432062813
8,4,0.002719325487562478,0.004027654625024947
8,6,0.0022608003052320995,0.0038265545410215472
8,8,0.0017216432121731845,0.003801172337142033
8,10,0.0014202317759837249,0.003526383757801441
8,12,0.001661942178403741,0.003685027553189666
8,14,0.0014215245045076691,0.0036093814355028166
8,16,0.0014447070078193298,0.0036018807385831274
16,2,0.0037992308428372286,0.004552813787553052
16,4,0.0026066810839462926,0.0037303161215852592
16,6,0.0021058650006156397,0.0038279763004818498
16,8,0.001723660117746681,0.0033610504838912595
16,10,0.0014148024893464064,0.0035930132861867687
16,12,0.0014648832754691704,0.003445846622693588
16,14,0.0013220151946865377,0.0033478918429220438
16,16,0.0014643499223447336,0.003604214931289274
32,2,0.003689821203234127,0.004251720220392959
32,4,0.002529630298080848,0.0036028708582350223
32,6,0.0019577468613581265,0.0034995876736867854
32,8,0.0015117739753719012,0.0035286436317519157
32,10,0.0014334188441847597,0.003555460391772932
32,12,0.0012969862859589882,0.003286632407409167
32,14,0.0013556198368911026,0.003433146022637646
32,16,0.0013545348758270748,0.003522656905746717
64,2,0.003702906583994059,0.004256498364872629
64,4,0.002543680750851053,0.0036939499620459158
64,6,0.0019493511703697298,0.0034850044558585656
64,8,0.0015796682284972192,0.0033180473034623795
64,10,0.0013362840737199235,0.0033539727799003338
64,12,0.0013007050191151295,0.0032572717359165607
64,14,0.0013164278218628612,0.00345622492057934
64,16,0.0012855645283320928,0.003355949868173545
128,2,0.003765844514796664,0.004285521096046387
128,4,0.002520498519125451,0.0036754703796651957
128,6,0.0018728603047482274,0.003423764254494053
128,8,0.0015510851065917233,0.003355365560973864
128,10,0.0013612354808479653,0.003390933846597908
128,12,0.0012633185220983659,0.0034018169633192215
128,14,0.0012686637996733399,0.0033472637124081633
128,16,0.0012407450434977027,0.0033537093431207986
256,2,0.00369011328045261,0.004290883765902681
256,4,0.002535901669927899,0.0036031344967161474
256,6,0.0019242521524776607,0.003424332611504975
256,8,0.0015515585345414642,0.0033991358534481405
256,10,0.001347430266798265,0.0032923889885246352
256,12,0.0012560007871244882,0.0033580169231879433
256,14,0.0012146533173251544,0.0033529076670141223
256,16,0.0012315262129165767,0.0033691215867732195
