n_estimators,max_depth,mae_train,mae_test
2,2,0.006688144776072115,0.007168533977591656
2,4,0.0061232169613896935,0.006978539103753074
2,6,0.006062247505349055,0.006991047471151741
2,8,0.005930709642288461,0.006999029956862362
2,10,0.005928438480915761,0.006932912657505879
2,12,0.005945828136028981,0.006922978183348072
2,14,0.005945828136028981,0.006922978183348072
2,16,0.005945828136028981,0.006922978183348072
4,2,0.004484752746327825,0.005320336778419568
4,4,0.0036980073215764223,0.005055228528131351
4,6,0.00344024122845034,0.004747171197213542
4,8,0.0032154694855059426,0.004970867129110028
4,10,0.0031766864752152454,0.0049479126293911655
4,12,0.0031914450134187576,0.005053954785808319
4,14,0.00319624895984508,0.005069271579390902
4,16,0.00319624895984508,0.005069271579390902
8,2,0.0029495566323969225,0.004030137053545274
8,4,0.001928069566324245,0.0037685448931537077
8,6,0.001462111024501032,0.0036168458972571315
8,8,0.001085003273360989,0.0037784762994050557
8,10,0.0010442348536446073,0.0038377528115957934
8,12,0.0010168744660310992,0.003839227418928352
8,14,0.00101523716234978,0.003871010014185509
8,16,0.00101523716234978,0.003871010014185509
16,2,0.002313204882393625,0.0035982538817162612
16,4,0.001044852714163528,0.0035944510522585398
16,6,0.0005128601517376582,0.0035209197278408535
16,8,0.0003487109772480991,0.003618876967795391
16,10,0.0003408455593493982,0.0036020164629257416
16,12,0.000314142639276768,0.0037217779351354945
16,14,0.0003230578481857895,0.003735505862136851
16,16,0.0003230578481857895,0.003735505862136851
32,2,0.0018073286730595159,0.0034878351118706524
32,4,0.0004412438791222588,0.003450016204171418
32,6,0.0003571655494449775,0.0034979247940934263
32,8,0.00029662895346411556,0.003628412806286905
32,10,0.0003097017086338216,0.0035984682577479923
32,12,0.00028423996750898454,0.00371566708510167
32,14,0.0002793989353354352,0.003726962570139165
32,16,0.0002793989353354352,0.003726962570139165
64,2,0.0011353045841391,0.003280222350147074
64,4,0.0004411225832716023,0.003449336376194871
64,6,0.00035715225922012894,0.00349788209076571
64,8,0.00029663798141988393,0.0036283638774740586
64,10,0.00030971127356837174,0.00359844578099646
64,12,0.0002842417462511991,0.0037156486336638156
64,14,0.00027942007887496706,0.003726920616869898
64,16,0.00027942007887496706,0.003726920616869898
128,2,0.0006021200346061428,0.00318613710158276
128,4,0.0004411225832716023,0.003449336376194871
128,6,0.00035715225922012894,0.00349788209076571
128,8,0.00029663798141988393,0.0036283638774740586
128,10,0.00030971127356837174,0.00359844578099646
128,12,0.0002842417462511991,0.0037156486336638156
128,14,0.00027942007887496706,0.003726920616869898
128,16,0.00027942007887496706,0.003726920616869898
256,2,0.0006021202527537729,0.0031861319511814075
256,4,0.0004411225832716023,0.003449336376194871
256,6,0.00035715225922012894,0.00349788209076571
256,8,0.00029663798141988393,0.0036283638774740586
256,10,0.00030971127356837174,0.00359844578099646
256,12,0.0002842417462511991,0.0037156486336638156
256,14,0.00027942007887496706,0.003726920616869898
256,16,0.00027942007887496706,0.003726920616869898
